sequence,method,counts,kmer_size,file_type,compression,size
SRR000001,prophasm,no-counts,7,fasta,none,9265
SRR000001,prophasm,no-counts,7,fasta,mfcompress,2602
SRR000001,prophasm,no-counts,7,fasta,lzma,1956
SRR000001,prophasm,no-counts,7,fasta,gzip,2852
SRR000001,bcalm,no-counts,7,fasta,none,1090828
SRR000001,bcalm,no-counts,7,fasta,mfcompress,279432
SRR000001,bcalm,no-counts,7,fasta,lzma,142322
SRR000001,bcalm,no-counts,7,fasta,gzip,276437
SRR000001,bcalm,counts,7,fasta,none,995075
SRR000001,bcalm,counts,7,fasta,mfcompress,251958
SRR000001,bcalm,counts,7,fasta,lzma,127612
SRR000001,bcalm,counts,7,fasta,gzip,248973
SRR000001,ust,no-counts,7,fasta,none,29612
SRR000001,ust,no-counts,7,fasta,lzma,6957
SRR000001,ust,no-counts,7,fasta,gzip,8142
SRR000001,ust,counts,7,fasta,none,29900
SRR000001,ust,counts,7,counts,none,38409
SRR000001,ust,counts,7,fasta,mfcompress,7902
SRR000001,ust,counts,7,fasta,lzma,7010
SRR000001,ust,counts,7,fasta,gzip,8198
SRR000001,ust,counts,7,counts,lzma,16384
SRR000001,ust,counts,7,counts,gzip,17498
SRR000001,metagraph,no-counts,7,dbg,none,80024
SRR000001,metagraph,no-counts,7,dbg,lzma,5120
SRR000001,metagraph,no-counts,7,dbg,gzip,14051
SRR000001,metagraph,counts,7,dbg,none,80024
SRR000001,metagraph,counts,7,dbg,lzma,5120
SRR000001,metagraph,counts,7,dbg,gzip,14051
SRR000001,metagraph,counts,7,annodbg,none,230
SRR000001,metagraph,counts,7,coords,none,72970907
SRR000001,metagraph,counts,7,annodbg,lzma,78
SRR000001,metagraph,counts,7,annodbg,gzip,117
SRR000001,metagraph,counts,7,coords,lzma,72008131
SRR000001,metagraph,counts,7,coords,gzip,72981093
SRR000001,assembly,no-counts,7,fasta,none,16456
SRR000001,assembly,no-counts,7,fasta,mfcompress,4237
SRR000001,assembly,no-counts,7,fasta,lzma,1515
SRR000001,assembly,no-counts,7,fasta,gzip,4610
